expiry_date,strike,bid,ask,option_type,quote_date,spot,risk_free_rate
2024-02-01,123.2907,3.8e-05,3.8e-05,C,2024-01-02,100.0,0.0
2024-02-01,123.2907,23.174309,23.407217,P,2024-01-02,100.0,0.0
2024-02-01,128.4025,6e-06,6e-06,C,2024-01-02,100.0,0.0
2024-02-01,128.4025,28.260535,28.54456,P,2024-01-02,100.0,0.0
2024-04-02,67.032,32.893478,33.224066,C,2024-01-02,100.0,0.0
2024-04-02,67.032,0.090322,0.09123,P,2024-01-02,100.0,0.0
2024-04-02,69.8113,30.163344,30.466493,C,2024-01-02,100.0,0.0
2024-04-02,69.8113,0.125539,0.126801,P,2024-01-02,100.0,0.0
2024-04-02,72.7057,27.332862,27.607564,C,2024-01-02,100.0,0.0
2024-04-02,72.7057,0.175063,0.176822,P,2024-01-02,100.0,0.0
2024-04-02,75.7202,24.403487,24.648748,C,2024-01-02,100.0,0.0
2024-04-02,75.7202,0.245102,0.247566,P,2024-01-02,100.0,0.0
2024-04-02,78.8597,21.379481,21.59435,C,2024-01-02,100.0,0.0
2024-04-02,78.8597,0.344872,0.348338,P,2024-01-02,100.0,0.0
2024-04-02,82.1293,18.269644,18.453258,C,2024-01-02,100.0,0.0
2024-04-02,82.1293,0.488326,0.493234,P,2024-01-02,100.0,0.0
2024-04-02,85.5345,15.090353,15.242015,C,2024-01-02,100.0,0.0
2024-04-02,85.5345,0.697213,0.70422,P,2024-01-02,100.0,0.0
2024-04-02,89.0809,11.871309,11.990619,C,2024-01-02,100.0,0.0
2024-04-02,89.0809,1.006826,1.016945,P,2024-01-02,100.0,0.0
2024-04-02,92.7743,8.667489,8.754599,C,2024-01-02,100.0,0.0
2024-04-02,92.7743,1.477966,1.49282,P,2024-01-02,100.0,0.0
2024-04-02,96.6209,5.587331,5.643485,C,2024-01-02,100.0,0.0
2024-04-02,96.6209,2.225137,2.2475,P,2024-01-02,100.0,0.0
2024-04-02,100.627,2.867018,2.895832,C,2024-01-02,100.0,0.0
2024-04-02,100.627,3.49084,3.525924,P,2024-01-02,100.0,0.0
2024-04-02,104.7991,1.0028,1.012879,C,2024-01-02,100.0,0.0
2024-04-02,104.7991,5.777905,5.835975,P,2024-01-02,100.0,0.0
2024-04-02,109.1442,0.272055,0.27479,C,2024-01-02,100.0,0.0
2024-04-02,109.1442,9.370561,9.464737,P,2024-01-02,100.0,0.0
2024-04-02,113.6695,0.076221,0.076987,C,2024-01-02,100.0,0.0
2024-04-02,113.6695,13.677381,13.814842,P,2024-01-02,100.0,0.0
2024-04-02,118.3824,0.022806,0.023035,C,2024-01-02,100.0,0.0
2024-04-02,118.3824,18.313309,18.497362,P,2024-01-02,100.0,0.0
2024-04-02,123.2907,0.007136,0.007208,C,2024-01-02,100.0,0.0
2024-04-02,123.2907,23.181408,23.414387,P,2024-01-02,100.0,0.0
2024-04-02,128.4025,0.0023,0.002323,C,2024-01-02,100.0,0.0
2024-04-02,128.4025,28.262829,28.546878,P,2024-01-02,100.0,0.0
2024-07-02,67.032,33.124563,33.457473,C,2024-01-02,100.0,0.0
2024-07-02,67.032,0.321408,0.324638,P,2024-01-02,100.0,0.0
2024-07-02,69.8113,30.445847,30.751836,C,2024-01-02,100.0,0.0
2024-07-02,69.8113,0.408042,0.412143,P,2024-01-02,100.0,0.0
2024-07-02,72.7057,27.677413,27.955578,C,2024-01-02,100.0,0.0
2024-07-02,72.7057,0.519613,0.524836,P,2024-01-02,100.0,0.0
2024-07-02,75.7202,24.822503,25.071976,C,2024-01-02,100.0,0.0
2024-07-02,75.7202,0.664119,0.670793,P,2024-01-02,100.0,0.0
2024-07-02,78.8597,21.887219,22.107191,C,2024-01-02,100.0,0.0
2024-07-02,78.8597,0.85261,0.861179,P,2024-01-02,100.0,0.0
2024-07-02,82.1293,18.882022,19.071791,C,2024-01-02,100.0,0.0
2024-07-02,82.1293,1.100704,1.111767,P,2024-01-02,100.0,0.0
2024-07-02,85.5345,15.824273,15.983311,C,2024-01-02,100.0,0.0
2024-07-02,85.5345,1.431133,1.445517,P,2024-01-02,100.0,0.0
2024-07-02,89.0809,12.742787,12.870855,C,2024-01-02,100.0,0.0
2024-07-02,89.0809,1.878304,1.897181,P,2024-01-02,100.0,0.0
2024-07-02,92.7743,9.686644,9.783997,C,2024-01-02,100.0,0.0
2024-07-02,92.7743,2.497121,2.522218,P,2024-01-02,100.0,0.0
2024-07-02,96.6209,6.74366,6.811435,C,2024-01-02,100.0,0.0
2024-07-02,96.6209,3.381466,3.41545,P,2024-01-02,100.0,0.0
2024-07-02,100.627,4.080463,4.121473,C,2024-01-02,100.0,0.0
2024-07-02,100.627,4.704286,4.751565,P,2024-01-02,100.0,0.0
2024-07-02,104.7991,2.003746,2.023884,C,2024-01-02,100.0,0.0
2024-07-02,104.7991,6.778851,6.84698,P,2024-01-02,100.0,0.0
2024-07-02,109.1442,0.818569,0.826795,C,2024-01-02,100.0,0.0
2024-07-02,109.1442,9.917074,10.016743,P,2024-01-02,100.0,0.0
2024-07-02,113.6695,0.325787,0.329061,C,2024-01-02,100.0,0.0
2024-07-02,113.6695,13.926947,14.066917,P,2024-01-02,100.0,0.0
2024-07-02,118.3824,0.135411,0.136772,C,2024-01-02,100.0,0.0
2024-07-02,118.3824,18.425913,18.611098,P,2024-01-02,100.0,0.0
2024-07-02,123.2907,0.058661,0.059251,C,2024-01-02,100.0,0.0
2024-07-02,123.2907,23.232933,23.46643,P,2024-01-02,100.0,0.0
2024-07-02,128.4025,0.026197,0.02646,C,2024-01-02,100.0,0.0
2024-07-02,128.4025,28.286726,28.571014,P,2024-01-02,100.0,0.0
2025-01-01,67.032,33.648532,33.986708,C,2024-01-02,100.0,0.0
2025-01-01,67.032,0.845376,0.853873,P,2024-01-02,100.0,0.0
2025-01-01,69.8113,31.047897,31.359937,C,2024-01-02,100.0,0.0
2025-01-01,69.8113,1.010092,1.020244,P,2024-01-02,100.0,0.0
2025-01-01,72.7057,28.36798,28.653085,C,2024-01-02,100.0,0.0
2025-01-01,72.7057,1.210181,1.222343,P,2024-01-02,100.0,0.0
2025-01-01,75.7202,25.612952,25.870369,C,2024-01-02,100.0,0.0
2025-01-01,75.7202,1.454567,1.469186,P,2024-01-02,100.0,0.0
2025-01-01,78.8597,22.789636,23.018678,C,2024-01-02,100.0,0.0
2025-01-01,78.8597,1.755027,1.772665,P,2024-01-02,100.0,0.0
2025-01-01,82.1293,19.908764,20.108852,C,2024-01-02,100.0,0.0
2025-01-01,82.1293,2.127446,2.148828,P,2024-01-02,100.0,0.0
2025-01-01,85.5345,16.987017,17.157741,C,2024-01-02,100.0,0.0
2025-01-01,85.5345,2.593877,2.619946,P,2024-01-02,100.0,0.0
2025-01-01,89.0809,14.05042,14.191631,C,2024-01-02,100.0,0.0
2025-01-01,89.0809,3.185937,3.217957,P,2024-01-02,100.0,0.0
2025-01-01,92.7743,11.140339,11.252303,C,2024-01-02,100.0,0.0
2025-01-01,92.7743,3.950816,3.990523,P,2024-01-02,100.0,0.0
2025-01-01,96.6209,8.324559,8.408222,C,2024-01-02,100.0,0.0
2025-01-01,96.6209,4.962365,5.012238,P,2024-01-02,100.0,0.0
2025-01-01,100.627,5.717234,5.774694,C,2024-01-02,100.0,0.0
2025-01-01,100.627,6.341056,6.404786,P,2024-01-02,100.0,0.0
2025-01-01,104.7991,3.50472,3.539943,C,2024-01-02,100.0,0.0
2025-01-01,104.7991,8.279825,8.363039,P,2024-01-02,100.0,0.0
2025-01-01,109.1442,1.913491,1.932722,C,2024-01-02,100.0,0.0
2025-01-01,109.1442,11.011996,11.12267,P,2024-01-02,100.0,0.0
2025-01-01,113.6695,0.990357,1.000311,C,2024-01-02,100.0,0.0
2025-01-01,113.6695,14.591518,14.738166,P,2024-01-02,100.0,0.0
2025-01-01,118.3824,0.518062,0.523268,C,2024-01-02,100.0,0.0
2025-01-01,118.3824,18.808564,18.997595,P,2024-01-02,100.0,0.0
2025-01-01,123.2907,0.278997,0.281801,C,2024-01-02,100.0,0.0
2025-01-01,123.2907,23.453268,23.688979,P,2024-01-02,100.0,0.0
2025-01-01,128.4025,0.154372,0.155923,C,2024-01-02,100.0,0.0
2025-01-01,128.4025,28.4149,28.700477,P,2024-01-02,100.0,0.0
2025-07-03,67.032,34.148869,34.492074,C,2024-01-02,100.0,0.0
2025-07-03,67.032,1.345714,1.359238,P,2024-01-02,100.0,0.0
2025-07-03,69.8113,31.604712,31.922347,C,2024-01-02,100.0,0.0
2025-07-03,69.8113,1.566907,1.582655,P,2024-01-02,100.0,0.0
2025-07-03,72.7057,28.986852,29.278177,C,2024-01-02,100.0,0.0
2025-07-03,72.7057,1.829052,1.847435,P,2024-01-02,100.0,0.0
2025-07-03,75.7202,26.299621,26.563938,C,2024-01-02,100.0,0.0
2025-07-03,75.7202,2.141236,2.162756,P,2024-01-02,100.0,0.0
2025-07-03,78.8597,23.54993,23.786613,C,2024-01-02,100.0,0.0
2025-07-03,78.8597,2.51532,2.5406,P,2024-01-02,100.0,0.0
2025-07-03,82.1293,20.748317,20.956842,C,2024-01-02,100.0,0.0
2025-07-03,82.1293,2.966999,2.996818,P,2024-01-02,100.0,0.0
2025-07-03,85.5345,17.910478,18.090483,C,2024-01-02,100.0,0.0
2025-07-03,85.5345,3.517338,3.552688,P,2024-01-02,100.0,0.0
2025-07-03,89.0809,15.060397,15.211758,C,2024-01-02,100.0,0.0
2025-07-03,89.0809,4.195914,4.238084,P,2024-01-02,100.0,0.0
2025-07-03,92.7743,12.234494,12.357454,C,2024-01-02,100.0,0.0
2025-07-03,92.7743,5.044971,5.095674,P,2024-01-02,100.0,0.0
2025-07-03,96.6209,9.489933,9.585309,C,2024-01-02,100.0,0.0
2025-07-03,96.6209,6.127739,6.189325,P,2024-01-02,100.0,0.0
2025-07-03,100.627,6.91703,6.986548,C,2024-01-02,100.0,0.0
2025-07-03,100.627,7.540853,7.61664,P,2024-01-02,100.0,0.0
2025-07-03,104.7991,4.654465,4.701244,C,2024-01-02,100.0,0.0
2025-07-03,104.7991,9.42957,9.52434,P,2024-01-02,100.0,0.0
2025-07-03,109.1442,2.877618,2.906539,C,2024-01-02,100.0,0.0
2025-07-03,109.1442,11.976124,12.096487,P,2024-01-02,100.0,0.0
2025-07-03,113.6695,1.685625,1.702566,C,2024-01-02,100.0,0.0
2025-07-03,113.6695,15.286785,15.440422,P,2024-01-02,100.0,0.0
2025-07-03,118.3824,0.981182,0.991044,C,2024-01-02,100.0,0.0
2025-07-03,118.3824,19.271685,19.46537,P,2024-01-02,100.0,0.0
2025-07-03,123.2907,0.581619,0.587464,C,2024-01-02,100.0,0.0
2025-07-03,123.2907,23.75589,23.994643,P,2024-01-02,100.0,0.0
2025-07-03,128.4025,0.352525,0.356068,C,2024-01-02,100.0,0.0
2025-07-03,128.4025,28.613054,28.900623,P,2024-01-02,100.0,0.0
2026-01-01,67.032,34.609605,34.957441,C,2024-01-02,100.0,0.0
2026-01-01,67.032,1.80645,1.824605,P,2024-01-02,100.0,0.0
2026-01-01,69.8113,32.109774,32.432485,C,2024-01-02,100.0,0.0
2026-01-01,69.8113,2.071968,2.092792,P,2024-01-02,100.0,0.0
2026-01-01,72.7057,29.539847,29.83673,C,2024-01-02,100.0,0.0
2026-01-01,72.7057,2.382047,2.405987,P,2024-01-02,100.0,0.0
2026-01-01,75.7202,26.904257,27.174651,C,2024-01-02,100.0,0.0
2026-01-01,75.7202,2.745872,2.773469,P,2024-01-02,100.0,0.0
2026-01-01,78.8597,24.209851,24.453166,C,2024-01-02,100.0,0.0
2026-01-01,78.8597,3.175242,3.207154,P,2024-01-02,100.0,0.0
2026-01-01,82.1293,21.46681,21.682556,C,2024-01-02,100.0,0.0
2026-01-01,82.1293,3.685492,3.722532,P,2024-01-02,100.0,0.0
2026-01-01,85.5345,18.690115,18.877956,C,2024-01-02,100.0,0.0
2026-01-01,85.5345,4.296975,4.340161,P,2024-01-02,100.0,0.0
2026-01-01,89.0809,15.902008,16.061827,C,2024-01-02,100.0,0.0
2026-01-01,89.0809,5.037525,5.088153,P,2024-01-02,100.0,0.0
2026-01-01,92.7743,13.135518,13.267534,C,2024-01-02,100.0,0.0
2026-01-01,92.7743,5.945995,6.005754,P,2024-01-02,100.0,0.0
2026-01-01,96.6209,10.440805,10.545738,C,2024-01-02,100.0,0.0
2026-01-01,96.6209,7.078612,7.149754,P,2024-01-02,100.0,0.0
2026-01-01,100.627,7.893876,7.973211,C,2024-01-02,100.0,0.0
2026-01-01,100.627,8.517698,8.603303,P,2024-01-02,100.0,0.0
2026-01-01,104.7991,5.60731,5.663665,C,2024-01-02,100.0,0.0
2026-01-01,104.7991,10.382414,10.48676,P,2024-01-02,100.0,0.0
2026-01-01,109.1442,3.724236,3.761665,C,2024-01-02,100.0,0.0
2026-01-01,109.1442,12.822741,12.951613,P,2024-01-02,100.0,0.0
2026-01-01,113.6695,2.353325,2.376976,C,2024-01-02,100.0,0.0
2026-01-01,113.6695,15.954485,16.114832,P,2024-01-02,100.0,0.0
2026-01-01,118.3824,1.464832,1.479554,C,2024-01-02,100.0,0.0
2026-01-01,118.3824,19.755334,19.95388,P,2024-01-02,100.0,0.0
2026-01-01,123.2907,0.920849,0.930104,C,2024-01-02,100.0,0.0
2026-01-01,123.2907,24.095121,24.337283,P,2024-01-02,100.0,0.0
2026-01-01,128.4025,0.589296,0.595219,C,2024-01-02,100.0,0.0
2026-01-01,128.4025,28.849825,29.139773,P,2024-01-02,100.0,0.0
